node,stopping_time,total_stopping_time,maximum_excursion,binary_length,parity_vector_length,in_degree,out_degree,distance_from_root,ancestor_count,branching_factor,level_set,umap_1,umap_2
4833,3,72,69712,13,72,1,1,-1,2,1,-1,4.7887897,5.161164
4834,1,20,7252,13,20,2,1,20,3,2,20,4.4041786,4.2160325
4835,6,20,21760,13,20,1,1,20,2,1,20,4.975968,3.3807404
4836,1,59,13120,13,59,1,1,59,2,1,59,5.719131,5.468475
4837,3,59,14512,13,59,1,1,59,2,1,59,4.5521555,6.4188623
4838,1,59,13120,13,59,1,1,59,2,1,59,5.7828183,3.9748557
4839,39,165,93040,13,165,1,1,-1,2,1,-1,5.3349485,5.01197
4840,1,20,4840,13,20,2,1,20,3,2,20,3.7594366,6.2244678
4841,3,103,176740,13,103,1,1,-1,2,1,-1,5.1636367,3.5650325
4842,1,20,7264,13,20,1,1,20,2,1,20,3.261526,4.4883623
4843,8,165,44224,13,165,1,1,165,2,1,165,5.223498,5.433397
4844,1,72,39364,13,72,1,1,72,2,1,72,6.0165486,5.229881
4845,3,72,39364,13,72,1,1,72,2,1,72,6.3973656,6.324606
4846,1,72,39364,13,72,2,1,72,3,2,72,3.4935122,4.7855563
4847,34,165,209680,13,165,1,1,-1,2,1,-1,5.050661,5.1188197
4848,1,46,4848,13,46,1,1,46,2,1,46,5.3570824,4.66192
4849,3,20,14548,13,20,1,1,20,2,1,20,4.6316757,5.598875
4850,1,165,1276936,13,165,1,1,-1,2,1,-1,4.740814,4.978649
4851,6,165,1276936,13,165,1,1,-1,2,1,-1,7.110164,4.6862283
4852,1,46,4852,13,46,2,1,46,3,2,46,4.1137276,4.887561
4853,3,46,14560,13,46,1,1,46,2,1,46,4.703151,5.1644216
4854,1,121,12292,13,121,1,1,121,2,1,121,3.7931118,4.2796965
4855,8,121,32776,13,121,1,1,121,2,1,121,6.6986704,5.3780556
4856,1,46,9232,13,46,1,1,46,2,1,46,4.604651,5.4563537
4857,3,165,18448,13,165,1,1,165,2,1,165,6.6774855,4.8254952
4858,1,46,9232,13,46,2,1,46,3,2,46,4.6707764,5.5375724
4859,21,121,41524,13,121,1,1,121,2,1,121,4.93101,4.124629
4860,1,165,27700,13,165,1,1,165,2,1,165,5.2467732,3.877798
4861,3,165,27700,13,165,1,1,165,2,1,165,4.7209263,6.062098
4862,1,165,83104,13,165,1,1,-1,2,1,-1,4.7569065,7.211739
4863,52,90,599056,13,90,1,1,-1,2,1,-1,4.042139,6.0103807
4864,1,28,4864,13,28,2,1,28,3,2,28,3.1339276,4.4491124
4865,3,46,14596,13,46,1,1,46,2,1,46,4.935625,6.12352
4866,1,46,7300,13,46,1,1,46,2,1,46,4.654216,2.8426473
4867,6,46,21904,13,46,1,1,46,2,1,46,4.8092833,5.1861296
4868,1,134,9232,13,134,1,1,134,2,1,134,5.006131,4.738145
4869,3,134,14608,13,134,1,1,134,2,1,134,4.3321486,3.610671
4870,1,134,10960,13,134,2,1,134,3,2,134,5.521363,4.1817727
4871,11,46,32884,13,46,1,1,46,2,1,46,4.8044596,4.8559647
4872,1,134,9232,13,134,1,1,134,2,1,134,3.1310031,6.7091675
4873,3,121,24676,13,121,1,1,121,2,1,121,4.7719326,6.0194197
4874,1,134,9232,13,134,1,1,134,2,1,134,4.7987995,4.444809
4875,8,121,21940,13,121,1,1,121,2,1,121,4.9072113,7.115209
4876,1,134,9232,13,134,2,1,134,3,2,134,4.479164,4.026566
4877,3,134,14632,13,134,1,1,134,2,1,134,3.9276085,6.081125
4878,1,134,16468,13,134,1,1,134,2,1,134,4.9805355,5.996601
4879,11,134,49408,13,134,1,1,134,2,1,134,6.1128464,4.8564463
4880,1,41,4880,13,41,1,1,41,2,1,41,4.5264454,5.3239794
4881,3,134,14644,13,134,1,1,134,2,1,134,5.525709,5.455323
4882,1,72,13912,13,72,2,1,72,3,2,72,4.365696,4.640184
4883,6,72,21976,13,72,1,1,72,2,1,72,4.7589073,6.0638127
4884,1,41,4884,13,41,1,1,41,2,1,41,4.9128203,5.1640115
4885,3,41,14656,13,41,1,1,41,2,1,41,3.8041954,5.5326824
4886,1,46,10996,13,46,1,1,46,2,1,46,4.0109262,6.052497
4887,8,46,32992,13,46,1,1,46,2,1,46,4.7183714,5.58953
4888,1,41,4888,13,41,2,1,41,3,2,41,3.9185672,5.8228784
4889,3,46,20896,13,46,1,1,46,2,1,46,6.088453,4.019257
4890,1,41,7336,13,41,1,1,41,2,1,41,4.688747,5.177965
4891,75,178,225988,13,178,1,1,-1,2,1,-1,5.497508,3.1342282
4892,1,134,9232,13,134,1,1,134,2,1,134,6.943831,5.6848397
4893,3,134,14680,13,134,1,1,134,2,1,134,3.395465,3.0565193
4894,1,134,24784,13,134,2,1,134,3,2,134,3.7489974,3.6744907
4895,26,72,74356,13,72,1,1,-1,2,1,-1,4.058362,4.215014
4896,1,41,4896,13,41,1,1,41,2,1,41,5.227395,4.24925
4897,3,165,14692,13,165,1,1,165,2,1,165,3.4053397,4.8116484
4898,1,134,9232,13,134,1,1,134,2,1,134,3.1381183,4.3482337
4899,6,134,22048,13,134,1,1,134,2,1,134,5.730349,4.695449
4900,1,134,9232,13,134,2,1,134,3,2,134,5.3560014,5.405403
4901,3,134,14704,13,134,1,1,134,2,1,134,5.19547,4.156908
4902,1,134,11032,13,134,1,1,134,2,1,134,4.3774533,5.766235
4903,13,103,59668,13,103,1,1,-1,2,1,-1,4.098824,5.8688974
4904,1,41,4904,13,41,1,1,41,2,1,41,5.5242,6.0354156
4905,3,165,55888,13,165,1,1,-1,2,1,-1,3.8457873,4.692744
4906,1,41,7360,13,41,2,1,41,3,2,41,5.0188007,7.3023515
4907,8,134,22084,13,134,1,1,134,2,1,134,5.973306,5.9798775
4908,1,134,9232,13,134,1,1,134,2,1,134,5.4874372,4.3324914
4909,3,134,14728,13,134,1,1,134,2,1,134,3.3621218,6.1605754
4910,1,134,16576,13,134,1,1,134,2,1,134,5.363958,4.057972
4911,16,121,59776,13,121,1,1,-1,2,1,-1,5.681092,5.354741
4912,1,41,4912,13,41,2,1,41,3,2,41,3.6320815,4.6055727
4913,3,134,14740,13,134,1,1,134,2,1,134,3.9080515,4.5957437
4914,1,134,9232,13,134,1,1,134,2,1,134,2.6285968,5.639325
4915,6,134,22120,13,134,1,1,134,2,1,134,3.0133996,5.951957
4916,1,41,4916,13,41,1,1,41,2,1,41,4.244498,4.786523
4917,3,41,14752,13,41,1,1,41,2,1,41,3.771816,5.3856335
4918,1,103,95956,13,103,2,1,-1,3,2,-1,6.1529827,4.483117
4919,8,103,95956,13,103,1,1,-1,2,1,-1,5.178814,6.117147
4920,1,72,10528,13,72,1,1,72,2,1,72,5.6422133,6.4236093
4921,3,72,16612,13,72,1,1,72,2,1,72,5.1232467,4.1935663
4922,1,72,10528,13,72,1,1,72,2,1,72,5.649549,4.493664
4923,11,72,24928,13,72,1,1,72,2,1,72,2.549727,5.3333445
4924,1,72,12472,13,72,2,1,72,3,2,72,4.318462,4.3083706
4925,3,72,14776,13,72,1,1,72,2,1,72,3.878392,4.666551
4926,1,209,250504,13,209,1,1,-1,2,1,-1,4.110091,5.3228254
4927,21,209,250504,13,209,1,1,-1,2,1,-1,3.3782318,3.8387494
4928,1,28,4928,13,28,1,1,28,2,1,28,4.420534,3.740734
4929,3,41,14788,13,41,1,1,41,2,1,41,4.6462417,5.0294075
4930,1,72,7396,13,72,2,1,72,3,2,72,3.9649315,5.893591
4931,6,72,22192,13,72,1,1,72,2,1,72,3.002896,4.729083
4932,1,134,9232,13,134,1,1,134,2,1,134,5.3081193,5.103921
4933,3,134,14800,13,134,1,1,134,2,1,134,5.026723,4.376231
4934,1,134,11104,13,134,1,1,134,2,1,134,2.9812295,4.5008535
4935,37,196,144340,13,196,1,1,-1,2,1,-1,6.5216336,4.108873
4936,1,134,9232,13,134,2,1,134,3,2,134,4.888006,5.074299
4937,3,134,25000,13,134,1,1,134,2,1,134,6.274015,4.6333365
4938,1,134,9232,13,134,1,1,134,2,1,134,4.409479,4.6296425
4939,8,134,22228,13,134,1,1,134,2,1,134,3.0849617,4.5095234
4940,1,134,9232,13,134,1,1,134,2,1,134,3.8952367,4.080332
4941,3,134,14824,13,134,1,1,134,2,1,134,4.1591487,3.7378793
4942,1,134,18772,13,134,2,1,134,3,2,134,5.564102,6.7440324
4943,13,134,50056,13,134,1,1,-1,2,1,-1,6.3858304,5.9721947
4944,1,28,4944,13,28,1,1,28,2,1,28,5.046799,7.333807
4945,3,121,15856,13,121,1,1,121,2,1,121,4.4296217,5.4769707
4946,1,121,42280,13,121,1,1,121,2,1,121,5.3805585,3.8839366
4947,6,121,42280,13,121,1,1,121,2,1,121,5.845388,4.9214864
4948,1,28,4948,13,28,2,1,28,3,2,28,4.5738583,5.443922
